pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
      2.119  , 14.7203, 42.707850 ,   35.0590 ,   0.1199,5.5300e+02,    0.3549,         1 ,1026.0880  ,  0.0461, 0.000e+00
      2.096  , 14.7213, 42.678317 ,   35.0309 ,   0.1092,4.8806e+02,    0.3404,         2 ,1026.0660  ,  0.0447, 0.000e+00
      2.102  , 14.7154, 42.671577 ,   35.0300 ,   0.1095,4.8978e+02,    0.3403,         3 ,1026.0666  ,  0.0442, 0.000e+00
      2.144  , 14.7109, 42.708862 ,   35.0683 ,   0.1174,4.7804e+02,    0.3537,         4 ,1026.0974  ,  0.0434, 0.000e+00
      2.182  , 14.7190, 42.669150 ,   35.0246 ,   0.1175,4.6227e+02,    0.3541,         5 ,1026.0620  ,  0.0458, 0.000e+00
      2.182  , 14.7255, 42.653040 ,   35.0039 ,   0.1304,4.7611e+02,    0.3729,         6 ,1026.0446  ,  0.0439, 0.000e+00
      2.166  , 14.7183, 42.654793 ,   35.0120 ,   0.1301,5.1874e+02,    0.3727,         7 ,1026.0524  ,  0.0446, 0.000e+00
      2.144  , 14.7118, 42.665443 ,   35.0276 ,   0.1248,5.5417e+02,    0.3606,         8 ,1026.0658  ,  0.0436, 0.000e+00
      2.134  , 14.7084, 42.699894 ,   35.0624 ,   0.1249,5.1774e+02,    0.3609,         9 ,1026.0933  ,  0.0420, 0.000e+00
      2.126  , 14.7104, 42.704142 ,   35.0644 ,   0.1106,4.2998e+02,    0.3433,        10 ,1026.0944  ,  0.0416, 0.000e+00
      2.128  , 14.7144, 42.708592 ,   35.0650 ,   0.1105,4.6848e+02,    0.3431,        11 ,1026.0940  ,  0.0423, 0.000e+00
      2.126  , 14.7259, 42.662947 ,   35.0127 ,   0.1149,5.0250e+02,    0.3476,        12 ,1026.0511  ,  0.0426, 0.000e+00
      2.121  , 14.7247, 42.654927 ,   35.0064 ,   0.1187,5.1177e+02,    0.3513,        13 ,1026.0465  ,  0.0430, 0.000e+00
      2.101  , 14.7172, 42.658230 ,   35.0162 ,   0.1217,5.2002e+02,    0.3556,        14 ,1026.0556  ,  0.0434, 0.000e+00
      2.088  , 14.7114, 42.671106 ,   35.0332 ,   0.1221,4.9072e+02,    0.3587,        15 ,1026.0699  ,  0.0439, 0.000e+00
      2.071  , 14.7104, 42.709334 ,   35.0693 ,   0.1169,5.0935e+02,    0.3516,        16 ,1026.0979  ,  0.0443, 0.000e+00
      2.071  , 14.7131, 42.723294 ,   35.0797 ,   0.1118,5.0472e+02,    0.3443,        17 ,1026.1053  ,  0.0423, 0.000e+00
      2.075  , 14.7151, 42.703400 ,   35.0596 ,   0.1183,4.5270e+02,    0.3559,        18 ,1026.0894  ,  0.0425, 0.000e+00
      2.094  , 14.7279, 42.660992 ,   35.0091 ,   0.1249,4.6170e+02,    0.3667,        19 ,1026.0477  ,  0.0443, 0.000e+00
      2.096  , 14.7267, 42.650545 ,   35.0006 ,   0.1216,4.5943e+02,    0.3600,        20 ,1026.0415  ,  0.0424, 0.000e+00
      2.088  , 14.7204, 42.654253 ,   35.0097 ,   0.1175,5.1920e+02,    0.3524,        21 ,1026.0498  ,  0.0430, 0.000e+00
      2.081  , 14.7119, 42.666926 ,   35.0289 ,   0.1136,4.8294e+02,    0.3461,        22 ,1026.0665  ,  0.0443, 0.000e+00
      2.094  , 14.7093, 42.667668 ,   35.0320 ,   0.1095,4.4560e+02,    0.3394,        23 ,1026.0694  ,  0.0421, 0.000e+00
      2.088  , 14.7122, 42.646841 ,   35.0102 ,   0.1070,4.8814e+02,    0.3355,        24 ,1026.0520  ,  0.0414, 0.000e+00
      2.071  , 14.7113, 42.637406 ,   35.0024 ,   0.1044,5.1240e+02,    0.3322,        25 ,1026.0461  ,  0.0439, 0.000e+00
