pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
      3.967 ,   15.4639 ,42.970677 ,  34.6340 ,   0.1003,1.1376e+02,    0.3909  ,      42,  1025.6047,     0.0658, 0.000e+00
      4.184 ,   15.4460 ,42.965137 ,  34.6447 ,   0.0986,1.0509e+02,    0.3876  ,      43,  1025.6179,     0.0658, 0.000e+00
      4.391 ,   15.4302 ,42.967911 ,  34.6611 ,   0.0971,9.9704e+01,    0.3826  ,      44,  1025.6349,     0.0646, 0.000e+00
      4.592 ,   15.4214 ,42.974404 ,  34.6746 ,   0.0971,9.5684e+01,    0.3884  ,      45,  1025.6482,     0.0639, 0.000e+00
      4.770 ,   15.4164 ,42.972647 ,  34.6773 ,   0.0976,9.2069e+01,    0.3936  ,      46,  1025.6522,     0.0652, 0.000e+00
      4.956 ,   15.4118 ,42.964671 ,  34.6742 ,   0.0987,8.6542e+01,    0.3911  ,      47,  1025.6516,     0.0641, 0.000e+00
      5.143 ,   15.4041 ,42.957170 ,  34.6741 ,   0.0986,8.0026e+01,    0.3887  ,      48,  1025.6542,     0.0621, 0.000e+00
      5.351 ,   15.3936 ,42.951764 ,  34.6784 ,   0.0979,7.4510e+01,    0.3863  ,      49,  1025.6607,     0.0624, 0.000e+00
      5.566 ,   15.3812 ,42.952916 ,  34.6903 ,   0.0972,7.0394e+01,    0.3839  ,      50,  1025.6736,     0.0612, 0.000e+00
      5.758 ,   15.3701 ,42.957042 ,  34.7038 ,   0.0966,6.7046e+01,    0.3803  ,      51,  1025.6873,     0.0626, 0.000e+00
      5.940 ,   15.3600 ,42.959139 ,  34.7145 ,   0.0967,6.4217e+01,    0.3764  ,      52,  1025.6987,     0.0629, 0.000e+00
      6.096 ,   15.3505 ,42.956911 ,  34.7209 ,   0.0966,6.1431e+01,    0.3760  ,      53,  1025.7063,     0.0619, 0.000e+00
      6.266 ,   15.3402 ,42.945692 ,  34.7198 ,   0.0963,5.8068e+01,    0.3759  ,      54,  1025.7086,     0.0623, 0.000e+00
      6.456 ,   15.3289 ,42.935895 ,  34.7209 ,   0.0950,5.5207e+01,    0.3795  ,      55,  1025.7128,     0.0629, 0.000e+00
      6.657 ,   15.3171 ,42.935086 ,  34.7305 ,   0.0935,5.1518e+01,    0.3822  ,      56,  1025.7237,     0.0616, 0.000e+00
      6.865 ,   15.3078 ,42.935561 ,  34.7391 ,   0.0936,4.8405e+01,    0.3767  ,      57,  1025.7333,     0.0620, 0.000e+00
      7.061 ,   15.3003 ,42.942187 ,  34.7517 ,   0.0937,4.6443e+01,    0.3717  ,      58,  1025.7455,     0.0600, 0.000e+00
      7.231 ,   15.2939 ,42.948406 ,  34.7629 ,   0.0935,4.4663e+01,    0.3720  ,      59,  1025.7563,     0.0594, 0.000e+00
      7.405 ,   15.2869 ,42.934688 ,  34.7566 ,   0.0924,4.2619e+01,    0.3730  ,      60,  1025.7538,     0.0584, 0.000e+00
      7.590 ,   15.2805 ,42.929216 ,  34.7572 ,   0.0935,4.0412e+01,    0.3780  ,      61,  1025.7565,     0.0583, 0.000e+00
      7.773 ,   15.2751 ,42.934421 ,  34.7667 ,   0.0935,3.8433e+01,    0.3831  ,      62,  1025.7658,     0.0588, 0.000e+00
      7.942 ,   15.2721 ,42.945100 ,  34.7790 ,   0.0934,3.7109e+01,    0.3831  ,      63,  1025.7767,     0.0597, 0.000e+00
      8.087 ,   15.2703 ,42.947197 ,  34.7824 ,   0.0935,3.5774e+01,    0.3830  ,      64,  1025.7804,     0.0601, 0.000e+00
      8.249 ,   15.2703 ,42.930774 ,  34.7674 ,   0.0932,3.3986e+01,    0.3847  ,      65,  1025.7696,     0.0584, 0.000e+00
      8.430 ,   15.2714 ,42.925977 ,  34.7620 ,   0.0929,3.2378e+01,    0.3865  ,      66,  1025.7660,     0.0603, 0.000e+00
      8.622 ,   15.2702 ,42.928951 ,  34.7658 ,   0.0931,3.0613e+01,    0.3825  ,      67,  1025.7700,     0.0594, 0.000e+00
      8.786 ,   15.2688 ,42.936453 ,  34.7737 ,   0.0934,2.9444e+01,    0.3786  ,      68,  1025.7772,     0.0587, 0.000e+00
      8.950 ,   15.2674 ,42.932670 ,  34.7715 ,   0.0927,2.8328e+01,    0.3845  ,      69,  1025.7765,     0.0598, 0.000e+00
      9.119 ,   15.2630 ,42.924426 ,  34.7678 ,   0.0925,2.6845e+01,    0.3899  ,      70,  1025.7754,     0.0585, 0.000e+00
      9.308 ,   15.2550 ,42.922468 ,  34.7731 ,   0.0925,2.5529e+01,    0.3848  ,      71,  1025.7820,     0.0587, 0.000e+00
      9.496 ,   15.2485 ,42.925173 ,  34.7812 ,   0.0927,2.4372e+01,    0.3801  ,      72,  1025.7906,     0.0570, 0.000e+00
      9.679 ,   15.2446 ,42.926729 ,  34.7860 ,   0.0931,2.3267e+01,    0.3792  ,      73,  1025.7960,     0.0567, 0.000e+00
      9.848 ,   15.2427 ,42.924094 ,  34.7853 ,   0.0935,2.2286e+01,    0.3789  ,      74,  1025.7966,     0.0569, 0.000e+00
     10.012 ,   15.2415 ,42.925987 ,  34.7880 ,   0.0929,2.1335e+01,    0.3809  ,      75,  1025.7996,     0.0575, 0.000e+00
     10.169 ,   15.2396 ,42.928421 ,  34.7918 ,   0.0927,2.0544e+01,    0.3828  ,      76,  1025.8037,     0.0576, 0.000e+00
     10.313 ,   15.2373 ,42.927678 ,  34.7931 ,   0.0927,1.9895e+01,    0.3839  ,      77,  1025.8058,     0.0577, 0.000e+00
     10.476 ,   15.2349 ,42.921192 ,  34.7893 ,   0.0937,1.9008e+01,    0.3853  ,      78,  1025.8042,     0.0568, 0.000e+00
     10.659 ,   15.2317 ,42.915517 ,  34.7869 ,   0.0925,1.7922e+01,    0.3827  ,      79,  1025.8039,     0.0586, 0.000e+00
     10.872 ,   15.2259 ,42.912884 ,  34.7896 ,   0.0911,1.6794e+01,    0.3804  ,      80,  1025.8081,     0.0578, 0.000e+00
     11.073 ,   15.2196 ,42.915723 ,  34.7977 ,   0.0915,1.5943e+01,    0.3767  ,      81,  1025.8167,     0.0584, 0.000e+00
     11.230 ,   15.2158 ,42.923698 ,  34.8082 ,   0.0911,1.5534e+01,    0.3729  ,      82,  1025.8263,     0.0562, 0.000e+00
     11.362 ,   15.2137 ,42.936945 ,  34.8221 ,   0.0922,1.5335e+01,    0.3683  ,      83,  1025.8381,     0.0555, 0.000e+00
     11.493 ,   15.2118 ,42.921740 ,  34.8100 ,   0.0925,1.4897e+01,    0.3645  ,      84,  1025.8297,     0.0558, 0.000e+00
     11.643 ,   15.2109 ,42.910457 ,  34.8004 ,   0.0917,1.4315e+01,    0.3635  ,      85,  1025.8232,     0.0558, 0.000e+00
     11.763 ,   15.2087 ,42.932419 ,  34.8223 ,   0.0914,1.4012e+01,    0.3632  ,      86,  1025.8411,     0.0559, 0.000e+00
     11.844 ,   15.2069 ,42.951209 ,  34.8409 ,   0.0918,1.3832e+01,    0.3648  ,      87,  1025.8562,     0.0577, 0.000e+00
     11.901 ,   15.2069 ,42.946207 ,  34.8363 ,   0.0912,1.3647e+01,    0.3657  ,      88,  1025.8529,     0.0573, 0.000e+00
     11.938 ,   15.2223 ,42.944921 ,  34.8215 ,   0.0918,1.3520e+01,    0.3655  ,      89,  1025.8383,     0.0581, 0.000e+00
     11.945 ,   15.2353 ,42.926199 ,  34.7929 ,   0.0933,1.3575e+01,    0.3585  ,      90,  1025.8134,     0.0568, 0.000e+00
     11.901 ,   15.2317 ,42.913698 ,  34.7848 ,   0.0926,1.3928e+01,    0.3587  ,      91,  1025.8077,     0.0570, 0.000e+00
