pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
      1.451  ,  15.7491, 43.093337 ,   34.4948 ,   0.1143, 3.8142e+02,    0.4092,          1,  1025.4224,     0.0723, 0.000e+00
      1.454  ,  15.7411, 43.103626 ,   34.5110 ,   0.1140, 3.7065e+02,    0.4056,          2,  1025.4366,     0.0731, 0.000e+00
      1.457  ,  15.7385, 43.109652 ,   34.5187 ,   0.1146, 3.9437e+02,    0.4074,          3,  1025.4431,     0.0741, 0.000e+00
      1.464  ,  15.7225, 43.092393 ,   34.5172 ,   0.1153, 3.6362e+02,    0.4090,          4,  1025.4456,     0.0724, 0.000e+00
      1.470  ,  15.7103, 43.090364 ,   34.5261 ,   0.1160, 3.8323e+02,    0.4056,          5,  1025.4552,     0.0734, 0.000e+00
      1.476  ,  15.7080, 43.091583 ,   34.5292 ,   0.1166, 3.7072e+02,    0.4022,          6,  1025.4582,     0.0735, 0.000e+00
      1.464  ,  15.7393, 43.040218 ,   34.4558 ,   0.1155, 3.9638e+02,    0.3958,          7,  1025.3946,     0.0723, 0.000e+00
      1.461  ,  15.7581, 43.062001 ,   34.4589 ,   0.1140, 3.8941e+02,    0.3906,          8,  1025.3927,     0.0739, 0.000e+00
      1.461  ,  15.7621, 43.080340 ,   34.4719 ,   0.1139, 3.8675e+02,    0.3951,          9,  1025.4018,     0.0735, 0.000e+00
      1.461  ,  15.7595, 43.081288 ,   34.4750 ,   0.1132, 3.7386e+02,    0.3998,         10,  1025.4047,     0.0723, 0.000e+00
      1.464  ,  15.7407, 43.086366 ,   34.4960 ,   0.1133, 3.8028e+02,    0.3986,         11,  1025.4252,     0.0726, 0.000e+00
      1.470  ,  15.7263, 43.083932 ,   34.5064 ,   0.1141, 3.7656e+02,    0.3983,         12,  1025.4365,     0.0730, 0.000e+00
      1.470  ,  15.7248, 43.080819 ,   34.5048 ,   0.1133, 3.7982e+02,    0.3959,         13,  1025.4356,     0.0738, 0.000e+00
      1.473  ,  15.7335, 43.098415 ,   34.5130 ,   0.1130, 3.7287e+02,    0.3923,         14,  1025.4400,     0.0741, 0.000e+00
      1.470  ,  15.7292, 43.107148 ,   34.5246 ,   0.1135, 3.8839e+02,    0.3944,         15,  1025.4498,     0.0734, 0.000e+00
      1.476  ,  15.7308, 43.101665 ,   34.5183 ,   0.1140, 3.6253e+02,    0.3963,         16,  1025.4446,     0.0707, 0.000e+00
      1.470  ,  15.7361, 43.082577 ,   34.4966 ,   0.1142, 3.7676e+02,    0.3973,         17,  1025.4267,     0.0733, 0.000e+00
      1.470  ,  15.7497, 43.093337 ,   34.4943 ,   0.1119, 3.9216e+02,    0.3980,         18,  1025.4219,     0.0744, 0.000e+00
      1.464  ,  15.7573, 43.105384 ,   34.4985 ,   0.1120, 3.7254e+02,    0.3989,         19,  1025.4234,     0.0732, 0.000e+00
